_elapsed,_wall,angular.x,angular.y,angular.z,linear.x,linear.y,linear.z
31.847921,1788156975.966670,0.0,0.0,0.0,0.0,0.0,0.0
31.952649,1788156976.071397,0.0,0.0,0.0,0.0,0.0,0.0
32.056317,1788156976.175066,0.0,0.0,0.0,0.0,0.0,0.0
32.159973,1788156976.278721,0.0,0.0,0.0,0.0,0.0,0.0
32.263499,1788156976.382247,0.0,0.0,0.0,0.0,0.0,0.0
32.366847,1788156976.485595,0.0,0.0,0.0,0.0,0.0,0.0
32.468623,1788156976.587372,0.0,0.0,0.0,0.0,0.0,0.0
32.573089,1788156976.691838,0.0,0.0,0.0,0.0,0.0,0.0
32.676468,1788156976.795216,0.0,0.0,0.0,0.0,0.0,0.0
32.779867,1788156976.898616,0.0,0.0,0.0,0.0,0.0,0.0
32.884535,1788156977.003284,0.0,0.0,0.0,0.0,0.0,0.0
32.984277,1788156977.103026,0.0,0.0,0.0,0.0,0.0,0.0
33.088295,1788156977.207044,0.0,0.0,0.0,0.0,0.0,0.0
33.189670,1788156977.308419,0.0,0.0,0.0,0.0,0.0,0.0
33.292050,1788156977.410799,0.0,0.0,0.0,0.0,0.0,0.0
33.396548,1788156977.515296,0.0,0.0,0.0,0.0,0.0,0.0
33.497592,1788156977.616341,0.0,0.0,0.0,0.0,0.0,0.0
33.601236,1788156977.719984,0.0,0.0,0.0,0.0,0.0,0.0
33.704124,1788156977.822873,0.0,0.0,0.0,0.0,0.0,0.0
33.806171,1788156977.924919,0.0,0.0,0.0,0.0,0.0,0.0
33.910267,1788156978.029016,0.0,0.0,0.0,0.0,0.0,0.0
34.011640,1788156978.130389,0.0,0.0,0.0,0.0,0.0,0.0
34.113929,1788156978.232677,0.0,0.0,0.0,0.0,0.0,0.0
34.216263,1788156978.335012,0.0,0.0,0.0,0.0,0.0,0.0
34.320689,1788156978.439438,0.0,0.0,0.0,0.0,0.0,0.0
34.427613,1788156978.546361,0.0,0.0,0.0,0.0,0.0,0.0
34.529213,1788156978.647962,0.0,0.0,0.0,0.0,0.0,0.0
34.630484,1788156978.749232,0.0,0.0,0.0,0.0,0.0,0.0
34.734360,1788156978.853109,0.0,0.0,0.0,0.0,0.0,0.0
34.836665,1788156978.955413,0.0,0.0,0.0,0.0,0.0,0.0
34.941173,1788156979.059922,0.0,0.0,0.0,0.0,0.0,0.0
35.041908,1788156979.160656,0.0,0.0,0.0,0.0,0.0,0.0
35.146095,1788156979.264843,0.0,0.0,0.0,0.0,0.0,0.0
35.246756,1788156979.365504,0.0,0.0,0.0,0.0,0.0,0.0
35.350209,1788156979.468958,0.0,0.0,0.0,0.0,0.0,0.0
35.453012,1788156979.571761,0.0,0.0,0.0,0.0,0.0,0.0
35.556206,1788156979.674954,0.0,0.0,0.0,0.0,0.0,0.0
35.657988,1788156979.776737,0.0,0.0,0.0,0.0,0.0,0.0
35.761409,1788156979.880158,0.0,0.0,0.0,0.0,0.0,0.0
35.865306,1788156979.984055,0.0,0.0,0.0,0.0,0.0,0.0
35.965569,1788156980.084318,0.0,0.0,0.0,0.0,0.0,0.0
36.069685,1788156980.188434,0.0,0.0,0.0,0.0,0.0,0.0
36.171093,1788156980.289842,0.0,0.0,0.0,0.0,0.0,0.0
36.275062,1788156980.393810,0.0,0.0,0.0,0.0,0.0,0.0
36.375698,1788156980.494447,0.0,0.0,0.0,0.0,0.0,0.0
36.479581,1788156980.598330,0.0,0.0,0.0,0.0,0.0,0.0
36.580289,1788156980.699038,0.0,0.0,0.0,0.0,0.0,0.0
36.682864,1788156980.801613,0.0,0.0,0.0,0.0,0.0,0.0
36.786086,1788156980.904835,0.0,0.0,0.0,0.0,0.0,0.0
36.888356,1788156981.007105,0.0,0.0,0.0,0.0,0.0,0.0
36.993531,1788156981.112279,0.0,0.0,0.0,0.0,0.0,0.0
37.094270,1788156981.213019,0.0,0.0,0.0,0.0,0.0,0.0
37.198877,1788156981.317626,0.0,0.0,0.0,0.0,0.0,0.0
37.299310,1788156981.418059,0.0,0.0,0.0,0.0,0.0,0.0
37.402802,1788156981.521550,0.0,0.0,0.0,0.0,0.0,0.0
37.506428,1788156981.625176,0.0,0.0,0.0,0.0,0.0,0.0
37.610979,1788156981.729728,0.0,0.0,0.0,0.0,0.0,0.0
37.719691,1788156981.838440,0.0,0.0,0.0,0.0,0.0,0.0
37.823580,1788156981.942328,0.0,0.0,0.0,0.0,0.0,0.0
37.924953,1788156982.043701,0.0,0.0,0.0,0.0,0.0,0.0
38.027099,1788156982.145847,0.0,0.0,0.0,0.0,0.0,0.0
38.130496,1788156982.249244,0.0,0.0,0.0,0.0,0.0,0.0
38.234553,1788156982.353302,0.0,0.0,0.0,0.0,0.0,0.0
38.338371,1788156982.457120,0.0,0.0,0.0,0.0,0.0,0.0
